latitude,longitude,way_id
36.6725882,126.1730137,22781916
36.6724602,126.1729883,22781916
36.6723634,126.1729621,22781916
36.6723107,126.1729661,22781916
36.6722763,126.1729923,22781916
36.6722661,126.1730231,22781916
36.672258,126.1730681,22781916
36.6722742,126.1731532,22781916
36.6723301,126.1733249,22781916
36.6724914,126.1736682,22781916
36.6726614,126.1739472,22781916
36.6727647,126.1740679,22781916
36.6728959,126.174202,22781916
36.6731885,126.1743495,22781916
36.6735499,126.1744434,22781916
36.6737456,126.1744755,22781916
36.673978,126.1744916,22781916
36.6741178,126.1744568,22781916
36.6742125,126.1743709,22781916
36.6742856,126.1741886,22781916
36.6742856,126.1739767,22781916
36.6742318,126.1737514,22781916
36.6740877,126.1734188,22781916
36.6739457,126.173239,22781916
36.6737499,126.1730862,22781916
36.6735456,126.1730164,22781916
36.673324,126.1730084,22781916
36.6730723,126.1730298,22781916
36.6728055,126.1730379,22781916
36.6725882,126.1730137,22781916
36.5558523,126.3278629,22781932
36.5557631,126.3283886,22781932
36.5555737,126.3288195,22781932
36.5554823,126.3294131,22781932
36.5553908,126.3302018,22781932
36.5554692,126.330836,22781932
36.5555998,126.3313482,22781932
36.5557109,126.3318117,22781932
36.5557109,126.332267,22781932
36.5558741,126.3322752,22781932
36.5561942,126.3321125,22781932
36.5565142,126.3319255,22781932
36.5567036,126.3321207,22781932
36.5565403,126.3323646,22781932
36.5562464,126.3325353,22781932
36.5560309,126.3325516,22781932
36.5557435,126.3326573,22781932
36.5555998,126.3328525,22781932
36.5555606,126.3331614,22781932
36.5559264,126.3332021,22781932
36.5561811,126.3343242,22781932
36.555946,126.3343892,22781932
36.5557043,126.3345681,22781932
36.555639,126.334747,22781932
36.555737,126.3349258,22781932
36.5559786,126.3350315,22781932
36.5560706,126.3364203,22781932
36.5557867,126.3366514,22781932
36.5556296,126.3368797,22781932
36.5555175,126.3372156,22781932
36.555637,126.3379345,22781932
36.5557892,126.3382433,22781932
36.5561419,126.3387718,22781932
36.555332,126.3390889,22781932
36.5549663,126.3391783,22781932
36.5544372,126.3391539,22781932
36.5539343,126.3360316,22781932
36.5539147,126.3355926,22781932
36.554816,126.3340477,22781932
36.5551622,126.3339664,22781932
36.5552471,126.3334867,22781932
36.5552406,126.3331045,22781932
36.5550904,126.3330801,22781932
36.5551949,126.3327874,22781932
36.555319,126.3321369,22781932
36.5553712,126.3315352,22781932
36.5551557,126.3309742,22781932
36.5550446,126.3305677,22781932
36.555221,126.3296407,22781932
36.5551883,126.3291041,22781932
36.5553647,126.3286,22781932
36.5555607,126.3279164,22781932
36.5551466,126.3277967,22781932
36.5542537,126.3279418,22781932
36.86956,126.36208,22781980
36.86956,126.36241,22781980
36.8697,126.3625601,22781980
36.8702099,126.3626999,22781980
36.8700999,126.3633401,22781980
36.8700999,126.3636601,22781980
36.87024,126.36382,22781980
36.87037,126.36397,22781980
36.8705,126.3641299,22781980
36.87102,126.36427,22781980
36.8709999,126.36363,22781980
36.87126,126.3637801,22781980
36.8715201,126.3637701,22781980
36.87203,126.3634401,22781980
36.87228,126.36328,22781980
36.87239,126.36263,22781980
36.8725101,126.36198,22781980
36.8717401,126.3620099,22781980
36.8717501,126.3623301,22781980
36.87046,126.3622101,22781980
36.8701901,126.3618999,22781980
36.86968,126.3619199,22781980
36.86956,126.36208,22781980
36.8974647,126.1507219,22782044
36.8974647,126.1510223,22782044
36.8974787,126.1511779,22782044
36.8975076,126.151481,22782044
36.8975441,126.1516634,22782044
36.8976149,126.1518431,22782044
36.8977136,126.1519879,22782044
36.8978465,126.1521247,22782044
36.8979602,126.1522132,22782044
36.8982326,126.1522561,22782044
36.8984429,126.1521918,22782044
36.8986059,126.1520791,22782044
36.898786,126.1518538,22782044
36.8990134,126.1514461,22782044
36.8991292,126.151084,22782044
36.8991636,126.1508936,22782044
36.8991807,126.1507058,22782044
36.8991593,126.1504698,22782044
36.8990177,126.1496463,22782044
36.8989684,126.1494398,22782044
36.8989319,126.1493406,22782044
36.8988461,126.1492494,22782044
36.8987045,126.1492091,22782044
36.8985287,126.149244,22782044
36.8983056,126.1493835,22782044
36.8980954,126.1495417,22782044
36.8978894,126.1497402,22782044
36.8976599,126.15006,22782044
36.8975184,126.1503625,22782044
36.897484,126.1505221,22782044
36.8974647,126.1507219,22782044
36.8731367,126.3678324,22782058
36.873134,126.3680636,22782058
36.8728764,126.36874,22782058
36.8727174,126.3692007,22782058
36.8919685,126.3193335,22782079
36.8922091,126.3193308,22782079
36.8923691,126.3193224,22782079
36.892529,126.3192433,22782079
36.8928293,126.3196344,22782079
36.8930471,126.3197771,22782079
36.8934801,126.3198184,22782079
36.894127,126.3196668,22782079
36.8948827,126.3204102,22782079
36.8957145,126.3209528,22782079
36.8964308,126.3208903,22782079
36.8969054,126.32036,22782079
36.8978293,126.320309,22782079
36.9016593,126.3196684,22782079
36.9028954,126.3194443,22782079
36.902926,126.3195509,22782079
36.9030444,126.3195269,22782079
36.9031703,126.3202688,22782079
